Full name,Category,Criterion,Ordering,Reference,Type,Theme,List
Volcanoes by height,volcanoe,height,taller,https://en.wikipedia.org/wiki/List_of_volcanoes_by_elevation,Constant,Geography,"Ojos del Salado,Monte Pissis,Nevado Tres Cruces,Llullaillaco,Tipas,Nevado Tres Cruces Central,Incahuasi,Tupungato,Nevado Sajama,Ata,Coropuna,Cerro El Cóndor,Parinacota,Ampato,Chimborazo,Pular,Cerro Solo,Aucanquilcha,San Pedro,Sierra Nevada,Solimana,Aracar,Guallatiri,Chachani,Socompa,Acamarachi,Hualca Hualca,Uturunku,Tacora,Sabancaya,Sairecabur,Cerro Paniri,Licancabur,Miñiques,Cotopaxi,Kilimanjaro,Putana Volcano,Falso Azufre,Ollagüe,Taapaca,San José,Cerro del Azufre,El Misti,Tutupaca,Tocorpuri,Cayambe,Antisana,Peinado,Linzor,Ubinas,Pichu Pichu,Mount Elbrus,Pico de Orizaba,Mount Damavand,Tupungatito,Arintica,Lascar Volcano,Isluga,Yucamani,Pampa Luxsar,Sara Sara,Tata Sabaya,Popocatépetl,Ticsani,Pukintika,Nevado del Huila,Nevado del Ruiz,El Altar,Nevado del Tolima,Maipo,Illiniza,Sangay,Iztaccíhuatl,Mount Kenya,Irruputuncu,Mount Ararat,Mount Kazbek,Tungurahua,Carihuairazo,Mount Bona"
Waterfalls by height,waterfall,height,taller,https://en.wikipedia.org/wiki/List_of_waterfalls_by_height,Constant,Geography,"Tugela Falls,Angel Falls,Tres Hermanas Falls,Olo'upena Falls,Yumbilla Falls,Skorga,Balåifossen,Vinnufossen,Mattenbachfall,Pu'uka'oku Falls,James Bruce Falls,Browne Falls,Strupenfossen,Ramnefjellsfossen,Waihilau Falls,Colonial Creek Falls,Mongefossen,Gocta Cataracts,Mutarazi Falls,Kjelfossen,Johannesburg Falls,Yosemite Falls,Cloudcap Falls,Cascades de Trou de Fer,Ølmåafossen,Manawainui Falls,Kjeragfossen,Avalanche Basin Falls,Harrison Basin Falls,Haloku Falls,Chamberlain Falls,Døntefossen,Kadamaian Falls,Spirefossen,Lake Unknown Falls,Cuquenan Falls,Salto Yutaj,Cascade Blanche,La Chorrera Falls,Kunchikal Falls"
Caves by depth,cave,depth,deeper,https://en.wikipedia.org/wiki/List_of_deepest_caves,Constant,Geography,"Veryovkina Cave,Krubera-Voronja Cave,Sarma cave,Snezhnaja cave,Gouffre Mirolda,Lamprechtsofen,Gouffre Jean-Bernard,Sistema del Cerro del Cuevón,Hirlatzhöhle,Sistema Huautla,Chevé Cave,Boybuloq,Pantjuhinskaja Cave,Sima de la Cornisa,Čehi 2,Sistema del Trave,Velebit caves,Egma Sinkhole,Gouffre de la Pierre Saint-Martin,Kuzgun Cave,Hochscharten-Höhlensystem,Črnelsko brezno,Abisso Paolo Roversi,Sistema Arañonera-Tendenera,BU 56,Siebenhengste-Hohgant-Höhle,Nedam,Sima del Sabbat,Slovačka jama,Renetovo brezno,Mala Boka,Complesso del Releccio Alfredo Bini,Jojar Cave.Cosanostraloch - Berger - Platteneck Höhlensystem,Iljuhinskaja,Višnevskij cave,Cueva Charco,Morca Cave,Gouffre Berger,Sistema del (Pozu) Xitu - Cueva de Culiembro,Moskovskaja,Réseau du Casoar,Torca dos los Rebecos,Pozo del Madejuno,Sistema J2"
Oceans by area,ocean,surface area,higher,https://en.wikipedia.org/wiki/Ocean,Constant,Geography,"Pacific Ocean,Atlantic Ocean,Indian Ocean,Antarctic Ocean,Arctic Ocean"
Oceans by coastline,ocean,coastline length,longer,https://en.wikipedia.org/wiki/Ocean,Constant,Geography,"Pacific Ocean,Atlantic Ocean,Indian Ocean,Arctic Ocean,Antarctic Ocean"
Oceans by average depth,ocean,average depth,deeper,https://en.wikipedia.org/wiki/Ocean,Constant,Geography,"Pacific Ocean,Indian Ocean,Atlantic Ocean,Antarctic Ocean,Arctic Ocean"
Deserts by area,desert,surface area,higher,https://en.wikipedia.org/wiki/List_of_deserts_by_area,Constant,Geography,"Antarctic Desert,Arctic Desert,Sahara Desert,Great Australian Deset,Arabian Desert,Gobi Desert, Kalahari Desert, Patagonian Desert,Syrian Desert,Great Basin Desert,Chihuahuan Desert, Karakum Desert,Colorado Plateau,Sonoran Desert,Kyzylkum Desert,Taklamakan Desert,Ogaden Desert,Thar Desert,Puntland Desert,Ustyurt Plateau,Guban Desert,Namib Desert, Dasht-e Margo Desert, Registan Desert"
Oceanic trenches,oceanic trench,depth,deeper,https://en.wikipedia.org/wiki/Oceanic_trench#Deepest_oceanic_trenches,Constant,Geography,"Mariana Trench,Tonga Trench,Philippine Trench,Kuril-Kamchatka Trench,Kermadec Trench,Izu-Bonin Trench,New Britain Trench,Puerto Rico Trench,South Sandwich trench,Atacama Trench,Japan Trench,Sunda Trench,Mauritius Trench,India Trench,Ceylon Trench,Somalia Trench,Madagascar Trench,Cayman Trench,Puerto Rico Trench"
Countries by area,country,surface area,higher,https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_area,Constant,Geography,"Russia,Canada,China,United States,Brazil,Australia,India,Argentina,Kazakhstan,Algeria,DR Congo,Saudi Arabia,Mexico,Indonesia,Sudan,Libya,Iran,Mongolia,Peru,Chad,Niger,Angola,Mali,South Africa,Colombia,Ethiopia,Bolivia,Mauritania,Egypt,Tanzania,Nigeria,Venezuela,Pakistan,Namibia,Mozambique,Turkey,Chile,Zambia,Myanmar,Afghanistan,South Sudan,France,Somalia,Central African Republic,Ukraine,Madagascar,Botswana,Kenya,Yemen,Thailand"
Canyons by depth,canyon,depth,deeper,https://www.worldatlas.com/canyons/10-deepest-canyons-in-the-world.html,Constant,Geography,"Yarlung Tsangpo Grand Canyon,Kali Gandaki Gorge,Colca Canyon,Cotahuasi Canyon,Copper Canyon,Grand Canyon,Antelope Canyon,Blyde River Canyon,Tara River Canyon,Fish River Canyon,"
Oldest reigning monarchs,monarch,reign,longer,https://en.wikipedia.org/wiki/List_of_longest-reigning_monarchs,Changing,History,"Louis XIV,Elisabeth II, Rama IX,Johann II of Liechtenstein,Franz Joseph I,Victoria,Kangxi Emperor,Honore III of Monaco,Qianlong Emperor"
Presidents of the US,president of the US,term start,earlier,https://en.wikipedia.org/wiki/List_of_presidents_of_the_United_States,Constant,History,"George Washington,John Adams,Thomas Jefferson,James Madison,James Monroe,John Quincy Adams,Andrew Jackson,Martin Van Buren,William Henry Harrison,John Tyler,James Polk,Zachary Taylor,Millard Fillmore,Franklin Pierce,James Buchanan,Abraham Lincoln,Andrew Johnson,Ulysses S Grant,Rutherford Hayes,James Garfield,Chester A Arthur,Grover Cleveland,Benjamin Harrison,William McKinley,Theodore Roosevelt,William Howard Taft,Woodrow Wilson,Warren G Harding,Calvin Coolidge,Herbert Hoover,Franklin D Roosevelt,Harry S Truman,Dwight D Eisenhower,John F Kennedy,Lyndon B Johnson,Richard Nixon,Gerald Ford,Jimmy Carter,Ronald Reagan,George H. W. Bush,Bill Clinton, George W. Bush,Barack Obama,Donald Trump,Joe Biden"
Sultans of the Ottoman Empire,sultan of the Ottoman Empire,inauguration,earlier,https://en.wikipedia.org/wiki/List_of_sultans_of_the_Ottoman_Empire,Constant,History,"Osman I,Orhan,Murad I,Bayezid I,Mehmed I, Murad II,Mehmed II,Bayezid II,Selim I,Suleiman I,Selim II,Murad III,Mehmed III,Ahmed I,Mustafa I,Osman II,Murad IV,Ibrahim,Mehmed IV,Suleiman II,Ahmed II,Mustafa II"
Emperors of Rome,emperor of Rome,inauguration,earlier,https://en.wikipedia.org/wiki/List_of_Roman_emperors,Constant,History,"Augustus,Tiberius,Caligula,Claudius,Nero,Galba,Otho,Vitellius,Vespasian,Titus,Domitian,Nerva,Trajan,Hadrian,Antoninus Pius,Marcus Aurelius,Lucius Verus,Commodus,Pertinax,Didius Julianus,Septimius Severus,Caracalla,Geta,Macrinus,Diadumenian,Elagabalus,Severus Alexander"
Kings of Rome,king of Rome,inauguration,earlier,https://en.wikipedia.org/wiki/King_of_Rome,Constant,History,"Romulus,Numa Pompilius,Tullus Hostilius,Ancus Marcius,Lucius Tarquinius Priscus,Sevius Tullius,Lucius Tarquinius Superbus"
List of time periods in history,time period in history,time,earlier,https://en.wikipedia.org/wiki/List_of_time_periods,Constant,History,"Precambrian,Paleozoic,Mesozoic,Cenozoic,Paleolithic,Mesolithic,Neolithic,Chalcolithic,Bronze Age,Iron Age"
Platonic solids by number of faces,platonic solid,number of faces,less,https://en.wikipedia.org/wiki/Platonic_solid,Constant,Mathematics,"Tetrahedron,Cube,Octahedron,Dodecahedron,Icosahedron"
Best selling artists by albums,music artist,number of albums sold,more,https://en.wikipedia.org/wiki/List_of_best-selling_music_artists,Changing,Music,"The Beatles,Elvis Presley,Michael Jackson,Elton John,Queen,Madonna,Led Zeppelin,Rihanna,Pink Floyd,Eminem,Mariah Carey,Taylor Swift,Beyonce,Whitney Houston,Eagles,Celine Dion,AC/DC,The Rolling Stones,Drake,Garth Brooks,Kanye West,Billy Joel,Justin Bieber,Ed Sheeran,Bruno Mars,Bruce Springsteen,U2,Aerosmith,Phil Collins,Barbra Streisand,ABBA,Julio Iglesias,Frank Sinatra,Katy Perry"
Songs with most weeks at number one on the Billboard Hot 100,song reaching number one in the Bilboard Hop 100,most weeks at number 1,more,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_chart_achievements_and_milestones,"Changing, but list is growing",Music,"Old Town Road,One Sweet Day,As It Was,Uptown funk"
Football teams by UEFA Champions League trophies,UEFA Champions League winner,number of wins,more,https://en.wikipedia.org/wiki/List_of_European_Cup_and_UEFA_Champions_League_finals,Changing,Sports,"Real Madrid,Milan,Bayern Munich,Barcelona,Ajax,Inter Milan,Juventus Torino,Steaua Bucuresti"
Most Ballon d'Or Trophies,Ballon d'Or winner,number of wins,more,https://en.wikipedia.org/wiki/Ballon_d%27Or,Changing,Sports,"Lionel Messi,Cristiano Ronaldo,Michel Platini,Franz Beckenbauer,Zinedine Zidane"
Countries with the most FIFA World Cup trophies,FIFA World Cup winner,number of wins,more,https://en.wikipedia.org/wiki/FIFA_World_Cup,Changing,Sports,"Brazil,Germany,Argentina,France,Spain"
Men's tennis players with the most grand slams won in the open era,men's tennis grand slam winner,number of wins,more,https://en.wikipedia.org/wiki/List_of_Grand_Slam_men%27s_singles_champions,Changing,Sports,"Novak Djokovic,Rafael Nadal,Roger Federer,Pete Sampras,Bjorn Borg,Jimmy Connors,John McEnroe,Stefan Edberg,Rod Laver,Ken Rosewall,Arthur Ashe"
Olympic summer games host cities by year,Olympic summer games host,time,earlier,https://en.wikipedia.org/wiki/List_of_Olympic_Games_host_cities,"Constant, things are being added",Sports,"Athens,Paris,St Louis,London,Stockholm,Antwerp,Amsterdam,Los Angeles,Berlin,London,Helsinki,Melbourne,Tokyo,Mexico City,Munich,Montreal,Moscow,Seoul,Barcelona,Atlanta,Sydney,Beijing,Rio de Janeiro,Brisbane"
List of Dutch football champions by number of titles,Dutch football champion,number of championships,more,https://en.wikipedia.org/wiki/List_of_Dutch_football_champions,"Changing, but rarely",Sports,"Ajax Amsterdam,PSV Eindhoven,Feyenoord Rotterdam,HVV Den Haag,Sparta Rotterdam,RAP,Go Ahead Eagles,Koninklijke HFC,Heracles Almelo,NAC Breda"
List of Romanian football cup winners by number of titles,Romanian football team,number of Romanian cups,more,https://en.wikipedia.org/wiki/Cupa_Rom%C3%A2niei,"Changing, but rarely",Sports,"FCSB,Dinamo Bucuresti,Universitatea Craiova,CFR Cluj,Petrolul Ploiesti,Politechnica Timisoara,Progresul Bucuresti"
